都道府県,市区町村,年度,データ名,分類1,分類2,分類3,データ値,データ単位
熊本県,荒尾市,2011,人口,,,,55080,人
熊本県,荒尾市,2011,総生産額,,,,106975093,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,農業,1702294,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,林業,21551,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,水産業,57481,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,鉱工業,9363989,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,建設業,4496894,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,電気・ガス・水道業,1380255,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,卸売・小売業,11057070,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,金融・保険業,3061033,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,不動産業,20762160,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,運輸業　,2314047,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,情報通信業,3385236,千円
熊本県,荒尾市,2011,総生産額,分野別,産業,サービス業,33488266,千円
熊本県,荒尾市,2011,総生産額,分野別,政府サービス生産者,電気・ガス・水道業,1684375,千円
熊本県,荒尾市,2011,総生産額,分野別,政府サービス生産者,サービス業,3910361,千円
熊本県,荒尾市,2011,総生産額,分野別,政府サービス生産者,公務,5562695,千円
熊本県,荒尾市,2011,総生産額,分野別,対家計民間非営利サービス生産者,サービス業,3985901,千円
